SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12%;PF 17%;PF 17% ALC;PF 17,5%;PF 17,5% ALC;PF 18%;PF 18% ALC;PF 20%;PMC 0%;PMC 12%;PMC 17%;PMC 17% ALC;PMC 17,5%;PMC 17,5% ALC;PMC 18%;PMC 18% ALC;PMC 20%;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2020;TARJA
DITOSILATO DE LAPATINIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517060090017;1006811370024;7896261020764;    -     ;    -     ;TYKERB;250 MG COM REV FR PLAS OPC X 70;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE;Novo;Regulado;4296,02;4296,02;4881,84;5175,93;5175,93;5207,3;5207,3;5239,05;5239,05;5370,03;5939;6748,86;7155,42;7155,42;7198,79;7198,79;7242,68;7242,68;7423,75;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080091217;1006811390033;7896261020801;    -     ;    -     ;ZOFRAN;2 MG/ML SOL INJ CT 5 AMP PLAS X 2 ML ;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Novo;Regulado;250,66;250,66;284,84;302;302;303,83;303,83;305,68;305,68;313,33;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080091317;1006811390041;7896261020818;    -     ;    -     ;ZOFRAN;2 MG/ML SOL INJ CT 5 AMP PLAS X 4 ML ;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Novo;Regulado;502,54;502,54;571,07;605,47;605,47;609,14;609,14;612,85;612,85;628,18;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CLORIDRATO DE TOPOTECANA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080090317;1006811400012;7896261020719;    -     ;    -     ;HYCAMTIN;4 MG PO LIOF SOL INJ CT FA VD TRANS X 4 ML;L1C3 - AGENTES ANTINEOPLÁSICOS CAMPTOTECINAS;Novo;Regulado;1313,58;1313,58;1492,71;1582,63;1582,63;1592,22;1592,22;1601,93;1601,93;1641,98;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
"VALSARTANA;SACUBITRIL";56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080090401;1006811410018;7896261020269;    -     ;    -     ;ENTRESTO;50 MG COM REV CT BL AL AL X 28;C9D9 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A OUTRA DROGAS;Novo;Regulado;87,95;98,5;113,83;121,72;105,96;122,57;106,6;123,43;107,25;127,01;132,13;152,05;162,24;146,48;163,34;147,37;164,45;148,27;169,05;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
"VALSARTANA;SACUBITRIL";56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080090701;1006811410026;7896261020283;    -     ;    -     ;ENTRESTO;200 MG COM REV CT BL AL AL X 28;C9D9 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A OUTRA DROGAS;Novo;Regulado;87,95;98,5;113,83;121,72;105,96;122,57;106,6;123,43;107,25;127,01;132,13;152,05;162,24;146,48;163,34;147,37;164,45;148,27;169,05;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
"VALSARTANA;SACUBITRIL";56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080090801;1006811410034;7896261020313;    -     ;    -     ;ENTRESTO;200 MG COM REV CT BL AL AL X 60;C9D9 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A OUTRA DROGAS;Novo;Regulado;188,46;211,08;243,92;260,84;227,07;262,66;228,44;264,51;229,83;272,16;283,16;325,82;347,68;313,91;350,03;315,8;352,41;317,73;362,25;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
"VALSARTANA;SACUBITRIL";56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080090501;1006811410042;7896261020276;    -     ;    -     ;ENTRESTO;100 MG COM REV CT BL AL AL X 28;C9D9 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A OUTRA DROGAS;Novo;Regulado;87,95;98,5;113,83;121,72;105,96;122,57;106,6;123,43;107,25;127,01;132,13;152,05;162,24;146,48;163,34;147,37;164,45;148,27;169,05;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
"VALSARTANA;SACUBITRIL";56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517080090601;1006811410050;7896261020306;    -     ;    -     ;ENTRESTO;100 MG COM REV CT BL AL AL X 60;C9D9 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A OUTRA DROGAS;Novo;Regulado;188,46;211,08;243,92;260,84;227,07;262,66;228,44;264,51;229,83;272,16;283,16;325,82;347,68;313,91;350,03;315,8;352,41;317,73;362,25;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
BROMIDRATO DE CITALOPRAM;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526517120091906;1006811430035;7897595635402;    -     ;    -     ;CITALOPRAM;20 MG COM REV CT  BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;Regulado;38,1;38,1;43,3;45,9;45,9;46,18;46,18;46,46;46,46;47,63;52,67;59,86;63,45;63,45;63,84;63,84;64,23;64,23;65,85;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
ROSUVASTATINA CÁLCICA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518050092606;1006811440022;7897595635792;    -     ;    -     ;ROSUVASTATINA CÁLCICA;10 MG COM REV CT BL AL AL X 30;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Genérico;Regulado;40,63;40,63;46,17;48,95;48,95;49,25;49,25;49,55;49,55;50,79;56,17;63,83;67,67;67,67;68,09;68,09;68,5;68,5;70,21;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
ROSUVASTATINA CÁLCICA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518050092706;1006811440057;7897595635808;    -     ;    -     ;ROSUVASTATINA CÁLCICA;20 MG COM REV CT BL AL AL X 30;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Genérico;Regulado;72,21;72,21;82,06;87;87;87,53;87,53;88,06;88,06;90,26;99,83;113,44;120,27;120,27;121,01;121,01;121,74;121,74;124,78;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518070093506;1006811450011;7897595636508;    -     ;    -     ;AMOXICILINA TRI-HIDRATADA + CLAVULANATO DE POTÁSSIO;50 MG/ML + 12,5 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO;Genérico;Regulado;27,27;27,27;30,99;32,86;32,86;33,05;33,05;33,26;33,26;34,09;37,7;42,84;45,43;45,43;45,69;45,69;45,98;45,98;47,13;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519040094806;1006811450036;7897595636522;    -     ;    -     ;AMOXICILINA TRI-HIDRATADA + CLAVULANATO DE POTÁSSIO;(80+11,4) MG/ML PO SUS OR CT FR VD AMB X 70 ML + COL;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO;Genérico;Regulado;38,49;38,49;43,74;46,37;46,37;46,65;46,65;46,94;46,94;48,11;53,21;60,47;64,1;64,1;64,49;64,49;64,89;64,89;66,51;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
MIRTAZAPINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519010094606;1006811460041;7897595635440;    -     ;    -     ;MIRTAZAPINA;30 MG COM REV CT BL AL PLAS TRANS X 28;N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS;Genérico;Regulado;81,99;81,99;93,17;98,78;98,78;99,38;99,38;99,99;99,99;102,49;113,35;128,8;136,56;136,56;137,39;137,39;138,23;138,23;141,69;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
MIRTAZAPINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519010094706;1006811460082;7897595635488;    -     ;    -     ;MIRTAZAPINA;45 MG COM REV CT BL AL PLAS TRANS X 28;N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS;Genérico;Regulado;106,21;106,21;120,69;127,96;127,96;128,74;128,74;129,52;129,52;132,76;146,83;166,85;176,9;176,9;177,98;177,98;179,05;179,05;183,53;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
MIRTAZAPINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518120094506;1006811470045;7897595635525;    -     ;    -     ;MIRTAZAPINA;15 MG COM ORODISP CT BL AL/AL X 28;N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS;Genérico;Regulado;36,9;36,9;41,93;44,46;44,46;44,73;44,73;45;45;46,13;51,01;57,97;61,46;61,46;61,84;61,84;62,21;62,21;63,77;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
DESOGESTREL;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518030092406;1006811490011;7897595636539;    -     ;    -     ;DESOGESTREL;0,075 MG COM REV CT BL AL PLAS TRANS X 28 ;G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE;Genérico;Regulado;12,29;12,29;13,97;14,81;14,81;14,9;14,9;14,99;14,99;15,36;16,99;19,31;20,47;20,47;20,6;20,6;20,72;20,72;21,23;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
DESOGESTREL;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518030092506;1006811490038;7897595636553;    -     ;    -     ;DESOGESTREL;0,075 MG COM REV CT BL AL PLAS TRANS X 84;G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE;Genérico;Regulado;33,12;33,12;37,64;39,9;39,9;40,15;40,15;40,39;40,39;41,4;45,79;52,04;55,16;55,16;55,51;55,51;55,84;55,84;57,23;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
ATORVASTATINA CÁLCICA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518070093706;1006811500025;7897595636287;    -     ;    -     ;ATORVASTATINA CÁLCICA;10 MG COM REV CT AL/AL X 30;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Genérico;Regulado;20,66;20,66;23,48;24,89;24,89;25,04;25,04;25,2;25,2;25,83;28,56;32,46;34,41;34,41;34,62;34,62;34,84;34,84;35,71;Não;Sim;Sim;Não;;Positiva;Sim;Tarja Vermelha(*)
ATORVASTATINA CÁLCICA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518070093806;1006811500041;7897595636294;    -     ;    -     ;ATORVASTATINA CÁLCICA;20 MG COM REV CT AL/AL X 30;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Genérico;Regulado;20,66;20,66;23,48;24,89;24,89;25,04;25,04;25,2;25,2;25,83;28,56;32,46;34,41;34,41;34,62;34,62;34,84;34,84;35,71;Não;Sim;Sim;Não;;Positiva;Sim;Tarja Vermelha(*)
BESILATO DE ANLODIPINO;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518050092806;1006811510020;7897595636010;    -     ;    -     ;BESILATO DE ANLODIPINO;5 MG COM CT BL AL PLAS PVC OPC X 30;C8A - ANTAGONISTAS DO CÁLCIO PUROS;Genérico;Regulado;8,76;8,76;9,95;10,55;10,55;10,62;10,62;10,68;10,68;10,95;12,11;13,76;14,58;14,58;14,68;14,68;14,76;14,76;15,14;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
BESILATO DE ANLODIPINO;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518050092906;1006811510063;7897595636096;    -     ;    -     ;BESILATO DE ANLODIPINO;10 MG COM CT BL AL PLAS PVC OPC X 30;C8A - ANTAGONISTAS DO CÁLCIO PUROS;Genérico;Regulado;14,61;14,61;16,6;17,6;17,6;17,71;17,71;17,82;17,82;18,26;20,2;22,95;24,33;24,33;24,48;24,48;24,64;24,64;25,24;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE FLUOXETINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518050093106;1006811520026;7897595636621;    -     ;    -     ;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;Regulado;25,61;25,61;29,1;30,86;30,86;31,04;31,04;31,23;31,23;32,01;35,4;40,23;42,66;42,66;42,91;42,91;43,17;43,17;44,25;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
ALOPURINOL;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518070093406;1006811540019;7897595635969;    -     ;    -     ;ALOPURINOL;300 MG COM CT BL AL PLAS TRANS X 30;M4A - ANTIGOTOSOS;Genérico;Regulado;21,12;21,12;24;25,45;25,45;25,6;25,6;25,76;25,76;26,4;29,2;33,18;35,18;35,18;35,39;35,39;35,61;35,61;36,5;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
ALOPURINOL;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518070093306;1006811540051;7897595635914;    -     ;    -     ;ALOPURINOL;100 MG COM CT BL AL PLAS TRANS X 30 ;M4A - ANTIGOTOSOS;Genérico;Regulado;7,15;7,15;8,13;8,61;8,61;8,67;8,67;8,72;8,72;8,94;9,88;11,24;11,9;11,9;11,99;11,99;12,05;12,05;12,36;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE CIPROFLOXACINO;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518050093006;1006811550103;7897595636195;    -     ;    -     ;CLORIDRATO DE CIPROFLOXACINO;500 MG COM REV CT BL AL PLAS TRANS X 14;J1G1 - FLUORQUINOLONAS ORAIS;Genérico;Regulado;17,09;17,09;19,42;20,59;20,59;20,72;20,72;20,84;20,84;21,36;23,63;26,85;28,46;28,46;28,64;28,64;28,81;28,81;29,53;Não;Não;Sim;Não;;Positiva;Sim;Tarja Vermelha (*)
MIDOSTAURINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518080094101;1006811560011;7896261020900;    -     ;    -     ;RYDAPT;25 MG CAP MOLE CT BL AL AL X 112;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE;Novo;Regulado;56514,45;63296,19;73144,32;78216,87;68089,67;78763,18;68502,36;79317,15;68920,06;81613,54;84909,59;97705,02;104257,19;94129,97;104961,31;94700,49;105674,9;95277,94;108630,34;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
SUCCINATO DE RIBOCICLIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518100094202;1006811570015;7896261020849;    -     ;    -     ;KISQALI;200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 21;L1H5 - INIBIDORES PREOTEÍNA KINASE ANTINEOPLÁSICOS, CDK 4/6;Novo;Regulado;4141,97;4639,01;5360,78;5732,55;4990,33;5772,59;5020,57;5813,19;5051,19;5981,5;6223,07;7160,84;7641,06;6898,84;7692,66;6940,64;7744,96;6982,97;7961,58;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
SUCCINATO DE RIBOCICLIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518100094302;1006811570023;7896261020856;    -     ;    -     ;KISQALI;200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 42;L1H5 - INIBIDORES PREOTEÍNA KINASE ANTINEOPLÁSICOS, CDK 4/6;Novo;Regulado;8283,96;9278,04;10721,59;11465,13;9980,68;11545,21;10041,17;11626,41;10102,39;11963,02;12446,16;14321,73;15282,15;13797,7;15385,37;13881,33;15489,96;13965,96;15923,18;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
SUCCINATO DE RIBOCICLIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526518100094402;1006811570031;7896261020863;    -     ;    -     ;KISQALI;200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 63;L1H5 - INIBIDORES PREOTEÍNA KINASE ANTINEOPLÁSICOS, CDK 4/6;Novo;Regulado;12425,94;13917,05;16082,38;17197,69;14971;17317,81;15061,74;17439,61;15153,58;17944,52;18669,23;21482,59;22923,22;20696,53;23078,04;20821,97;23234,94;20948,94;23884,75;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
ERENUMABE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519080094902;1006811600038;7896261021600;    -     ;    -     ;PASURTA;70 MG/ML SOL INJ CT 1 SER PREENC VD TRANS X 1 ML;N2C2 - ANTAGONISTAS DA CGRP ANTI-ENXAQUECA;Biológico;Regulado;1596,95;1788,58;2066,86;2210,2;1924,03;2225,64;1935,69;2241,29;1947,5;2306,18;2399,32;2760,88;2946,03;2659,86;2965,93;2675,98;2986,09;2692,3;3069,6;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
ERENUMABE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526521030098402;1006811600054;7896261022041;    -     ;    -     ;PASURTA;140 MG/ML SOL INJ CT 1 SER PREENC VD TRANS X 1 ML;N2C2 - ANTAGONISTAS DA CGRP ANTI-ENXAQUECA;Biológico;Regulado;1596,95;1788,58;2066,86;2210,2;1924,03;2225,64;1935,69;2241,29;1947,5;2306,18;2399,32;2760,88;2946,03;2659,86;2965,93;2675,98;2986,09;2692,3;3069,6;Não;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
RISPERIDONA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519120094507;1006811610033;7897595637895;    -     ;    -     ;RISPERIDONA;1 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30;N5A1 - ANTIPSICÓTICOS ATÍPICOS;Genérico;Regulado;21,41;21,41;24,33;25,8;25,8;25,95;25,95;26,11;26,11;26,76;29,6;33,63;35,67;35,67;35,87;35,87;36,1;36,1;36,99;Não;Sim;Sim;Não;;Positiva;Sim;Tarja -(*)
RISPERIDONA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519120094407;1006811610076;7897595637932;    -     ;    -     ;RISPERIDONA;2 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30;N5A1 - ANTIPSICÓTICOS ATÍPICOS;Genérico;Regulado;21,41;21,41;24,33;25,8;25,8;25,95;25,95;26,11;26,11;26,76;29,6;33,63;35,67;35,67;35,87;35,87;36,1;36,1;36,99;Não;Sim;Sim;Não;;Positiva;Sim;Tarja -(*)
HEMIFUMARATO DE QUETIAPINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519120094207;1006811620039;7897595637215;    -     ;    -     ;HEMIFUMARATO DE QUETIAPINA;25 MG COM REV CT BL AL PLAS TRANS X 30;N5A1 - ANTIPSICÓTICOS ATÍPICOS;Genérico;Regulado;26,88;26,88;30,55;32,39;32,39;32,58;32,58;32,78;32,78;33,6;37,16;42,23;44,78;44,78;45,04;45,04;45,32;45,32;46,45;Não;Sim;Sim;Não;;Positiva;Sim;Tarja Vermelha (*)
HEMIFUMARATO DE QUETIAPINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519120094307;1006811620081;7897595637260;    -     ;    -     ;HEMIFUMARATO DE QUETIAPINA;100 MG COM REV CT BL AL PLAS TRANS X 30;N5A1 - ANTIPSICÓTICOS ATÍPICOS;Genérico;Regulado;90,16;90,16;102,45;108,63;108,63;109,28;109,28;109,95;109,95;112,7;124,64;141,63;150,17;150,17;151,07;151,07;152;152;155,8;Não;Sim;Sim;Não;;Positiva;Sim;Tarja Vermelha (*)
MESILATO DE DOXAZOSINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526519110093507;1006811630034;7897595638137;    -     ;    -     ;MESILATO DE DOXAZOSINA;2 MG COM CT BL AL PLAS TRANS X 30;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Genérico;Regulado;15,66;15,66;17,8;18,87;18,87;18,98;18,98;19,1;19,1;19,58;21,65;24,61;26,09;26,09;26,24;26,24;26,4;26,4;27,07;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
MESILATO DE DOXAZOSINA;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526521070099106;1006811630077;7897595638175;    -     ;    -     ;MESILATO DE DOXAZOSINA;4 MG COM CT BL AL PLAS TRANS X 30;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Genérico;Regulado;24,26;24,26;27,57;29,23;29,23;29,41;29,41;29,59;29,59;30,33;33,54;38,11;40,41;40,41;40,66;40,66;40,91;40,91;41,93;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
OXALATO DE ESCITALOPRAM;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520040095407;1006811640064;7897595638083;    -     ;    -     ;OXALATO DE ESCITALOPRAM;20 MG COM REV CT BL AL AL X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;Regulado;67,08;67,08;76,23;80,82;80,82;81,31;81,31;81,8;81,8;83,85;92,73;105,38;111,73;111,73;112,41;112,41;113,08;113,08;115,92;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
OXALATO DE ESCITALOPRAM;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520040095507;1006811640129;7897595638021;    -     ;    -     ;OXALATO DE ESCITALOPRAM;10 MG COM REV CT BL AL AL X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;Regulado;35,34;35,34;40,16;42,58;42,58;42,84;42,84;43,1;43,1;44,18;48,86;55,52;58,86;58,86;59,22;59,22;59,58;59,58;61,08;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha (*)
OXALATO DE ESCITALOPRAM;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526521060098506;1006811640137;7897595639646;    -     ;    -     ;OXALATO DE ESCITALOPRAM;15 MG COM REV CT BL AL AL X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;Regulado;49,2;49,2;55,91;59,28;59,28;59,64;59,64;60;60;61,5;68,02;77,29;81,95;81,95;82,45;82,45;82,95;82,95;85,02;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha (*)
ALPELISIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520020094707;1006811650019;7896261021662;    -     ;    -     ;PIQRAY;150 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 56;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE;Novo;Regulado;14300,74;16016,83;18508,86;19792,45;17229,8;19930,69;17334,23;20070,87;17439,93;20651,96;21486,01;24723,84;26381,84;23819,19;26560,02;23963,56;26740,59;24109,68;27488,45;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
ALPELISIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520020094807;1006811650027;7896261021686;    -     ;    -     ;PIQRAY;200 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 28;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE;Novo;Regulado;14300,74;16016,83;18508,86;19792,45;17229,8;19930,69;17334,23;20070,87;17439,93;20651,96;21486,01;24723,84;26381,84;23819,19;26560,02;23963,56;26740,59;24109,68;27488,45;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
ALPELISIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520020094607;1006811650035;7896261021679;    -     ;    -     ;PIQRAY;200 MG + 50 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 56;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE;Novo;Regulado;14300,74;16016,83;18508,86;19792,45;17229,8;19930,69;17334,23;20070,87;17439,93;20651,96;21486,01;24723,84;26381,84;23819,19;26560,02;23963,56;26740,59;24109,68;27488,45;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
ALPELISIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520020094907;1006811650043;7896261021747;    -     ;    -     ;PIQRAY;150 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 28;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE;Novo;Regulado;7171,57;8032,16;9281,87;9925,57;8640,44;9994,89;8692,81;10065,19;8745,82;10356,59;10774,86;12398,57;13230,04;11944,9;13319,38;12017,3;13409,94;12090,58;13784,97;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
ALPELISIBE;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520020095007;1006811650061;7896261021754;    -     ;    -     ;PIQRAY;200 MG + 50MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 28;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE;Novo;Regulado;7171,57;8032,16;9281,87;9925,57;8640,44;9994,89;8692,81;10065,19;8745,82;10356,59;10774,86;12398,57;13230,04;11944,9;13319,38;12017,3;13409,94;12090,58;13784,97;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
ACICLOVIR;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520020095107;1006811660022;7897595637642;    -     ;    -     ;ACICLOVIR;200 MG COM CT BL AL PLAS TRANS X 25;J5B3 - ANTIVIRAIS PARA HERPES;Genérico;Regulado;38,81;38,81;44,1;46,76;46,76;47,04;47,04;47,33;47,33;48,51;53,65;60,97;64,64;64,64;65,03;65,03;65,43;65,43;67,06;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
ACICLOVIR;56.994.502/0001-30;NOVARTIS BIOCIENCIAS S.A;526520060095607;1006811660030;7897595639066;    -     ;    -     ;ACICLOVIR;400 MG COM CT BL AL PLAS OPC X 30 ;J5B3 - ANTIVIRAIS PARA HERPES;Genérico;Regulado;60,25;60,25;68,47;72,59;72,59;73,03;73,03;73,48;73,48;75,31;83,29;94,66;100,35;100,35;100,96;100,96;101,58;101,58;104,11;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
